chunk_number,subject_number,heart_rate
0,s45,93.33333333333334
1,s45,70.00000000000001
2,s45,46.66666666666667
3,s45,175.00000000000003
4,s45,93.33333333333334
5,s45,93.33333333333334
6,s45,140.00000000000003
7,s45,93.33333333333334
8,s45,93.33333333333334
9,s45,70.00000000000001
10,s45,93.33333333333334
11,s45,93.33333333333334
12,s45,93.33333333333334
13,s45,105.00000000000001
14,s45,93.33333333333334
15,s45,93.33333333333334
16,s45,93.33333333333334
17,s45,70.00000000000001
18,s45,128.33333333333337
19,s45,93.33333333333334
20,s45,105.00000000000001
21,s45,93.33333333333334
22,s45,93.33333333333334
23,s45,105.00000000000001
24,s45,93.33333333333334
25,s45,81.66666666666669
26,s45,81.66666666666669
27,s45,58.33333333333334
28,s45,81.66666666666669
29,s45,93.33333333333334
30,s45,93.33333333333334
31,s45,81.66666666666669
32,s45,163.33333333333337
33,s45,81.66666666666669
34,s45,93.33333333333334
0,s45,81.66666666666669
1,s45,140.00000000000003
2,s45,70.00000000000001
3,s45,81.66666666666669
4,s45,81.66666666666669
5,s45,81.66666666666669
6,s45,151.66666666666669
7,s45,81.66666666666669
8,s45,81.66666666666669
9,s45,81.66666666666669
10,s45,163.33333333333337
11,s45,81.66666666666669
12,s45,81.66666666666669
13,s45,81.66666666666669
14,s45,81.66666666666669
15,s45,81.66666666666669
16,s45,81.66666666666669
17,s45,93.33333333333334
18,s45,93.33333333333334
19,s45,81.66666666666669
20,s45,93.33333333333334
21,s45,175.00000000000003
22,s45,81.66666666666669
23,s45,81.66666666666669
24,s45,81.66666666666669
25,s45,163.33333333333337
26,s45,81.66666666666669
27,s45,81.66666666666669
28,s45,81.66666666666669
29,s45,81.66666666666669
30,s45,81.66666666666669
31,s45,81.66666666666669
32,s45,175.00000000000003
33,s45,81.66666666666669
34,s45,81.66666666666669
0,s45,70.00000000000001
1,s45,81.66666666666669
2,s45,151.66666666666669
3,s45,81.66666666666669
4,s45,81.66666666666669
5,s45,70.00000000000001
6,s45,81.66666666666669
7,s45,175.00000000000003
8,s45,81.66666666666669
9,s45,81.66666666666669
10,s45,151.66666666666669
11,s45,81.66666666666669
12,s45,70.00000000000001
13,s45,70.00000000000001
14,s45,70.00000000000001
15,s45,140.00000000000003
16,s45,81.66666666666669
17,s45,70.00000000000001
18,s45,151.66666666666669
19,s45,151.66666666666669
20,s45,70.00000000000001
21,s45,70.00000000000001
22,s45,81.66666666666669
23,s45,81.66666666666669
24,s45,81.66666666666669
25,s45,81.66666666666669
26,s45,151.66666666666669
27,s45,58.33333333333334
28,s45,70.00000000000001
29,s45,70.00000000000001
30,s45,70.00000000000001
31,s45,81.66666666666669
32,s45,116.66666666666669
33,s45,163.33333333333337
34,s45,70.00000000000001
