chunk_number,subject_number,heart_rate
0,s37,140.00000000000003
1,s37,81.66666666666669
2,s37,105.00000000000001
3,s37,128.33333333333337
4,s37,81.66666666666669
5,s37,116.66666666666669
6,s37,70.00000000000001
7,s37,116.66666666666669
8,s37,140.00000000000003
9,s37,163.33333333333337
10,s37,81.66666666666669
11,s37,116.66666666666669
12,s37,93.33333333333334
13,s37,105.00000000000001
14,s37,93.33333333333334
15,s37,58.33333333333334
16,s37,128.33333333333337
17,s37,93.33333333333334
18,s37,93.33333333333334
19,s37,105.00000000000001
20,s37,93.33333333333334
21,s37,105.00000000000001
22,s37,116.66666666666669
23,s37,93.33333333333334
24,s37,105.00000000000001
25,s37,93.33333333333334
26,s37,175.00000000000003
27,s37,93.33333333333334
28,s37,105.00000000000001
29,s37,93.33333333333334
30,s37,81.66666666666669
31,s37,93.33333333333334
32,s37,93.33333333333334
33,s37,105.00000000000001
34,s37,93.33333333333334
0,s37,175.00000000000003
1,s37,93.33333333333334
2,s37,93.33333333333334
3,s37,93.33333333333334
4,s37,93.33333333333334
5,s37,81.66666666666669
6,s37,175.00000000000003
7,s37,93.33333333333334
8,s37,175.00000000000003
9,s37,175.00000000000003
10,s37,175.00000000000003
11,s37,93.33333333333334
12,s37,93.33333333333334
13,s37,93.33333333333334
14,s37,93.33333333333334
15,s37,93.33333333333334
16,s37,93.33333333333334
17,s37,175.00000000000003
18,s37,175.00000000000003
19,s37,93.33333333333334
20,s37,93.33333333333334
21,s37,93.33333333333334
22,s37,93.33333333333334
23,s37,93.33333333333334
24,s37,175.00000000000003
25,s37,93.33333333333334
26,s37,175.00000000000003
27,s37,151.66666666666669
28,s37,105.00000000000001
29,s37,105.00000000000001
30,s37,81.66666666666669
31,s37,70.00000000000001
32,s37,105.00000000000001
33,s37,93.33333333333334
34,s37,105.00000000000001
0,s37,93.33333333333334
1,s37,140.00000000000003
2,s37,81.66666666666669
3,s37,163.33333333333337
4,s37,93.33333333333334
5,s37,93.33333333333334
6,s37,93.33333333333334
7,s37,70.00000000000001
8,s37,105.00000000000001
9,s37,93.33333333333334
10,s37,105.00000000000001
11,s37,105.00000000000001
12,s37,128.33333333333337
13,s37,58.33333333333334
14,s37,163.33333333333337
15,s37,163.33333333333337
16,s37,93.33333333333334
17,s37,58.33333333333334
18,s37,151.66666666666669
19,s37,128.33333333333337
20,s37,140.00000000000003
21,s37,105.00000000000001
22,s37,81.66666666666669
23,s37,175.00000000000003
24,s37,93.33333333333334
25,s37,116.66666666666669
26,s37,105.00000000000001
27,s37,93.33333333333334
28,s37,105.00000000000001
29,s37,116.66666666666669
30,s37,105.00000000000001
31,s37,105.00000000000001
32,s37,93.33333333333334
33,s37,175.00000000000003
34,s37,81.66666666666669
